product_id,product_name,category,price,stock_level,daily_demand,supplier_lead_time,reorder_point,is_weekend,units_sold,restocked
0,Comb,Tools,4.99,28.0,4.0,5.0,20,0,3,0
1,Hair Gel,Styling,7.99,8.0,6.0,2.0,12,0,4,1
2,Comb,Tools,4.99,166.0,,9.0,18,1,4,0
3,Comb,Tools,4.99,108.0,1.0,7.0,7,0,1,0
4,Hair Gel,Styling,7.99,24.0,4.0,6.0,24,1,2,0
5,Hair Spray,Styling,10.99,75.0,6.0,7.0,42,0,8,0
6,Hair Mousse,Styling,9.99,20.0,7.0,8.0,56,1,7,1
7,Conditioner,Hair Care,11.99,171.0,3.0,6.0,18,0,6,0
8,Conditioner,Hair Care,11.99,118.0,2.0,10.0,20,1,1,0
9,Shampoo,Hair Care,12.99,206.0,12.0,7.0,84,1,13,0
10,Comb,Tools,4.99,80.0,3.0,9.0,27,1,2,0
11,Comb,Tools,4.99,149.0,5.0,8.0,40,1,7,0
12,Hair Gel,Styling,7.99,23.0,6.0,4.0,24,0,9,1
13,Hair Gel,Styling,7.99,152.0,2.0,,18,1,4,0
14,Comb,Tools,4.99,29.0,1.0,6.0,6,1,4,0
15,Comb,Tools,4.99,224.0,0.0,6.0,0,0,2,0
16,Comb,Tools,4.99,129.0,2.0,4.0,8,0,4,0
17,Hair Mousse,Styling,9.99,224.0,4.0,6.0,24,0,3,0
18,Comb,Tools,4.99,124.0,5.0,10.0,50,0,4,0
19,Hair Spray,Styling,10.99,223.0,0.0,8.0,0,0,0,0
20,Hair Mousse,Styling,9.99,112.0,6.0,5.0,30,0,5,0
21,Conditioner,Hair Care,11.99,1.0,5.0,3.0,15,0,1,1
22,Shampoo,Hair Care,12.99,131.0,8.0,5.0,40,0,10,0
23,Conditioner,Hair Care,11.99,200.0,9.0,9.0,81,0,10,0
24,Hair Gel,Styling,7.99,119.0,6.0,3.0,18,1,4,0
25,Conditioner,Hair Care,11.99,48.0,6.0,10.0,60,0,7,1
26,Shampoo,Hair Care,12.99,113.0,9.0,3.0,27,0,7,0
27,Conditioner,Hair Care,11.99,104.0,3.0,9.0,27,0,4,0
28,Shampoo,Hair Care,12.99,99.0,7.0,9.0,63,1,7,0
29,Comb,Tools,4.99,183.0,6.0,9.0,54,0,5,0
30,Hair Spray,Styling,10.99,15.0,4.0,9.0,36,0,6,1
31,Shampoo,Hair Care,12.99,152.0,7.0,3.0,21,0,10,0
32,Hair Spray,Styling,10.99,152.0,5.0,10.0,50,1,5,0
33,Hair Gel,Styling,7.99,33.0,6.0,,36,1,7,1
34,Hair Spray,Styling,10.99,144.0,5.0,5.0,25,1,7,0
35,Conditioner,Hair Care,11.99,94.0,6.0,6.0,36,1,5,0
36,Comb,Tools,4.99,135.0,6.0,6.0,36,0,9,0
37,Shampoo,Hair Care,12.99,190.0,8.0,10.0,80,1,7,0
38,Comb,Tools,4.99,162.0,4.0,6.0,24,0,2,0
39,Hair Mousse,Styling,9.99,197.0,3.0,4.0,12,1,6,0
40,Hair Spray,Styling,10.99,2.0,8.0,4.0,32,0,2,1
41,Conditioner,Hair Care,11.99,10.0,10.0,6.0,60,0,10,1
42,Shampoo,Hair Care,12.99,90.0,8.0,8.0,64,0,10,0
43,Conditioner,Hair Care,11.99,225.0,2.0,8.0,16,0,0,0
44,Comb,Tools,4.99,221.0,2.0,4.0,8,0,5,0
45,Conditioner,Hair Care,11.99,209.0,5.0,9.0,45,1,5,0
46,Comb,Tools,4.99,49.0,1.0,3.0,3,1,1,0
47,Hair Spray,Styling,10.99,84.0,5.0,2.0,10,1,3,0
48,Shampoo,Hair Care,12.99,152.0,5.0,7.0,35,0,6,0
49,Comb,Tools,4.99,111.0,4.0,2.0,8,0,6,0
50,Hair Mousse,Styling,9.99,159.0,3.0,6.0,18,1,5,0
51,Hair Spray,Styling,10.99,32.0,8.0,5.0,40,1,9,1
52,Hair Mousse,Styling,9.99,103.0,4.0,6.0,24,1,3,0
53,Hair Gel,Styling,7.99,113.0,5.0,5.0,25,1,7,0
54,Comb,Tools,4.99,21.0,2.0,7.0,14,0,0,0
55,Shampoo,Hair Care,12.99,11.0,10.0,5.0,50,0,11,1
56,Comb,Tools,4.99,178.0,1.0,4.0,4,0,4,0
57,Hair Gel,Styling,7.99,56.0,7.0,4.0,28,1,10,0
58,Hair Gel,Styling,7.99,34.0,6.0,10.0,60,1,8,1
59,Comb,Tools,4.99,228.0,0.0,10.0,0,1,1,0
60,Hair Mousse,Styling,9.99,192.0,5.0,10.0,50,0,6,0
61,Hair Mousse,Styling,9.99,85.0,7.0,7.0,49,0,9,0
62,Comb,Tools,4.99,54.0,4.0,10.0,40,1,5,0
63,Hair Spray,Styling,10.99,242.0,5.0,2.0,10,1,7,0
64,Hair Gel,Styling,7.99,218.0,8.0,10.0,80,0,11,0
65,Hair Gel,Styling,7.99,86.0,3.0,8.0,24,0,6,0
66,Hair Spray,Styling,10.99,6.0,7.0,2.0,14,1,5,1
67,Hair Gel,Styling,7.99,83.0,4.0,5.0,20,1,5,0
68,Hair Gel,Styling,7.99,64.0,7.0,10.0,70,1,5,1
69,Shampoo,Hair Care,12.99,193.0,6.0,2.0,12,0,5,0
70,Hair Gel,Styling,7.99,171.0,9.0,9.0,81,1,12,0
71,Comb,Tools,4.99,183.0,,3.0,18,1,5,0
72,Comb,Tools,4.99,232.0,4.0,5.0,20,0,2,0
73,Hair Spray,Styling,10.99,206.0,4.0,3.0,12,0,6,0
74,Hair Spray,Styling,10.99,165.0,2.0,9.0,18,1,0,0
75,Comb,Tools,4.99,39.0,6.0,8.0,48,1,5,1
76,Hair Gel,Styling,7.99,111.0,7.0,7.0,49,0,6,0
77,Hair Spray,Styling,10.99,156.0,2.0,8.0,16,0,2,0
78,Hair Mousse,Styling,9.99,204.0,4.0,6.0,24,0,6,0
79,Hair Gel,Styling,7.99,125.0,7.0,10.0,70,1,6,0
80,Shampoo,Hair Care,12.99,75.0,8.0,6.0,48,1,11,0
81,Comb,Tools,4.99,140.0,6.0,7.0,42,1,6,0
82,Conditioner,Hair Care,11.99,80.0,8.0,4.0,32,0,7,0
83,Hair Spray,Styling,10.99,152.0,6.0,6.0,36,0,4,0
84,Comb,Tools,4.99,136.0,3.0,2.0,6,1,5,0
85,Hair Gel,Styling,7.99,26.0,6.0,2.0,12,1,8,0
86,Shampoo,Hair Care,12.99,64.0,10.0,3.0,30,1,11,0
87,Conditioner,Hair Care,11.99,207.0,6.0,6.0,36,0,4,0
88,Hair Spray,Styling,10.99,57.0,5.0,9.0,45,1,5,0
89,Comb,Tools,4.99,25.0,1.0,5.0,5,0,4,0
90,Hair Spray,Styling,10.99,19.0,6.0,9.0,54,0,6,1
91,Hair Gel,Styling,7.99,18.0,7.0,5.0,35,0,7,1
92,Hair Mousse,Styling,9.99,211.0,5.0,6.0,30,1,7,0
93,Hair Gel,Styling,7.99,241.0,6.0,6.0,36,1,8,0
94,Comb,Tools,4.99,82.0,2.0,5.0,10,0,5,0
95,Shampoo,Hair Care,12.99,195.0,7.0,4.0,28,1,8,0
96,Comb,Tools,4.99,208.0,2.0,7.0,14,1,3,0
97,Hair Gel,Styling,7.99,177.0,6.0,9.0,54,1,6,0
98,Hair Mousse,Styling,9.99,64.0,2.0,8.0,16,0,4,0
99,Conditioner,Hair Care,11.99,132.0,11.0,7.0,77,1,13,0
100,Hair Spray,Styling,10.99,33.0,6.0,9.0,54,0,4,1
101,Conditioner,Hair Care,11.99,79.0,6.0,10.0,60,1,4,0
102,Hair Gel,Styling,7.99,242.0,8.0,9.0,72,1,11,0
103,Hair Gel,Styling,7.99,62.0,8.0,9.0,72,0,10,1
104,Conditioner,Hair Care,11.99,221.0,10.0,8.0,80,1,10,0
105,Hair Spray,Styling,10.99,148.0,6.0,9.0,54,1,5,0
