date,item_name,style_type,price,stock_level,quantity_sold,promotion,is_weekend,is_holiday,appointments_per_day,day_of_week,month,item_style,lag_sales,rolling_avg_3,units_per_appt,stock_pressure
2024-01-01,premium_braiding_hair,cornrows,17.77,35,35,1,0,1,8,0,1,premium_braiding_hair_cornrows,24.270841487279842,24.270841487279842,3.888888888888889,3.888888888888889
2024-01-01,standard_braiding_hair,cornrows,14.59,17,17,0,0,1,9,0,1,standard_braiding_hair_cornrows,24.270841487279842,24.270841487279842,1.7,1.7
2024-01-01,beads,knotless,4.54,16,16,1,0,1,10,0,1,beads_knotless,24.270841487279842,24.270841487279842,1.4545454545454546,1.4545454545454546
2024-01-01,edge_control,twists,7.6,74,11,0,0,1,8,0,1,edge_control_twists,24.270841487279842,24.270841487279842,1.2222222222222223,8.222222222222221
2024-01-01,hair_gel,twists,5.98,69,18,0,0,1,9,0,1,hair_gel_twists,24.270841487279842,24.270841487279842,1.8,6.9
2024-01-01,mousse,box_braids,9.95,67,31,0,0,1,11,0,1,mousse_box_braids,24.270841487279842,24.270841487279842,2.5833333333333335,5.583333333333333
2024-01-01,hairspray,knotless,8.82,22,22,0,0,1,8,0,1,hairspray_knotless,24.270841487279842,24.270841487279842,2.4444444444444446,2.4444444444444446
2024-01-02,premium_braiding_hair,knotless,16.61,77,46,0,0,0,6,1,1,premium_braiding_hair_knotless,35.0,24.270841487279842,6.571428571428571,11.0
2024-01-02,standard_braiding_hair,knotless,13.99,76,39,1,0,0,10,1,1,standard_braiding_hair_knotless,17.0,24.270841487279842,3.5454545454545454,6.909090909090909
2024-01-02,beads,knotless,5.09,74,20,0,0,0,5,1,1,beads_knotless,16.0,24.270841487279842,3.3333333333333335,12.333333333333334
2024-01-02,edge_control,twists,6.32,23,11,0,0,0,7,1,1,edge_control_twists,11.0,24.270841487279842,1.375,2.875
2024-01-02,hair_gel,twists,5.09,49,19,0,0,0,11,1,1,hair_gel_twists,18.0,24.270841487279842,1.5833333333333333,4.083333333333333
2024-01-02,mousse,box_braids,9.33,42,27,0,0,0,12,1,1,mousse_box_braids,31.0,24.270841487279842,2.076923076923077,3.230769230769231
2024-01-02,hairspray,knotless,6.88,51,23,0,0,0,12,1,1,hairspray_knotless,22.0,24.270841487279842,1.7692307692307692,3.923076923076923
2024-01-03,premium_braiding_hair,cornrows,18.97,61,31,0,0,0,5,2,1,premium_braiding_hair_cornrows,46.0,37.333333333333336,5.166666666666667,10.166666666666666
2024-01-03,standard_braiding_hair,knotless,15.33,65,27,0,0,0,12,2,1,standard_braiding_hair_knotless,39.0,27.666666666666668,2.076923076923077,5.0
2024-01-03,beads,cornrows,4.78,18,18,0,0,0,9,2,1,beads_cornrows,20.0,18.0,1.8,1.8
2024-01-03,edge_control,box_braids,7.82,42,25,0,0,0,11,2,1,edge_control_box_braids,11.0,15.666666666666666,2.0833333333333335,3.5
2024-01-03,hair_gel,knotless,5.47,42,15,0,0,0,5,2,1,hair_gel_knotless,19.0,17.333333333333332,2.5,7.0
2024-01-03,mousse,knotless,8.64,76,30,1,0,0,11,2,1,mousse_knotless,27.0,29.333333333333332,2.5,6.333333333333333
2024-01-03,hairspray,box_braids,8.01,17,11,0,0,0,12,2,1,hairspray_box_braids,23.0,18.666666666666668,0.8461538461538461,1.3076923076923077
2024-01-04,premium_braiding_hair,box_braids,18.91,38,38,0,0,0,9,3,1,premium_braiding_hair_box_braids,31.0,38.333333333333336,3.8,3.8
2024-01-04,standard_braiding_hair,cornrows,15.26,66,24,0,0,0,8,3,1,standard_braiding_hair_cornrows,27.0,30.0,2.6666666666666665,7.333333333333333
2024-01-04,beads,twists,6.0,70,26,0,0,0,9,3,1,beads_twists,18.0,21.333333333333332,2.6,7.0
2024-01-04,edge_control,box_braids,6.43,15,15,0,0,0,8,3,1,edge_control_box_braids,25.0,17.0,1.6666666666666667,1.6666666666666667
2024-01-04,hair_gel,twists,7.23,69,23,0,0,0,8,3,1,hair_gel_twists,15.0,19.0,2.5555555555555554,7.666666666666667
2024-01-04,mousse,cornrows,9.51,25,20,1,0,0,6,3,1,mousse_cornrows,30.0,25.666666666666668,2.857142857142857,3.5714285714285716
2024-01-04,hairspray,box_braids,8.87,33,22,0,0,0,11,3,1,hairspray_box_braids,11.0,18.666666666666668,1.8333333333333333,2.75
2024-01-05,premium_braiding_hair,knotless,17.86,66,44,0,0,0,5,4,1,premium_braiding_hair_knotless,38.0,37.666666666666664,7.333333333333333,11.0
2024-01-05,standard_braiding_hair,cornrows,14.11,64,35,1,0,0,11,4,1,standard_braiding_hair_cornrows,24.0,28.666666666666668,2.9166666666666665,5.333333333333333
2024-01-05,beads,cornrows,5.23,30,28,0,0,0,15,4,1,beads_cornrows,26.0,24.0,1.75,1.875
2024-01-05,edge_control,twists,7.15,23,23,0,0,0,13,4,1,edge_control_twists,15.0,21.0,1.6428571428571428,1.6428571428571428
